,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K00024: mdh; malate dehydrogenase [EC:1.1.1.37],6,1,3,13,15,8,14,11,7,7
K00028: E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39],2,1,0,0,1,0,0,0,1,0
"K00029: E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",10,1,7,3,5,9,8,5,4,3
"K00031: IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",14,3,5,10,11,19,14,2,2,5
"K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",52,7,3,37,34,38,58,42,34,21
K00150: gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],10,2,0,7,4,6,10,4,7,2
K00169: porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],4,1,1,9,18,15,28,47,15,16
K00170: porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],4,1,0,2,4,3,6,16,2,3
K00171: porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],0,0,0,0,0,3,4,7,0,0
K00172: porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],0,0,0,2,2,0,6,6,2,2
"K00174: korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3ÿ1.2.7.11]",12,5,1,17,8,28,20,33,12,11
"K00175: korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3ÿ1.2.7.11]",10,0,1,4,10,12,10,22,6,8
"K00176: korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]",0,0,0,1,0,1,2,3,2,0
"K00177: korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]",0,0,0,3,4,2,8,7,5,3
"K00194: cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]",0,0,0,1,2,4,4,4,2,3
"K00197: cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]",0,0,0,0,3,3,4,7,4,5
"K00198: cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]",0,0,1,1,4,2,14,3,14,14
"K00239: sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1ÿ1.3.5.4]",16,2,5,11,13,12,26,16,20,11
"K00240: sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1ÿ1.3.5.4]",2,0,6,9,10,2,4,2,7,6
"K00241: sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit",4,0,0,8,5,13,8,23,6,6
"K00242: sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit",12,1,1,4,5,3,4,1,2,1
K00244: frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4],2,0,1,4,8,9,16,13,14,10
K00245: frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4],2,0,0,3,3,0,2,2,0,3
"K00297: metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]",4,0,2,2,5,1,2,11,1,2
"K00615: E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",44,8,3,29,14,37,18,24,25,19
"K00625: E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]",0,0,1,4,0,2,2,3,3,2
"K00626: E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",22,0,8,14,13,18,46,58,12,24
"K00855: PRK, prkB; phosphoribulokinase [EC:2.7.1.19]",12,4,0,6,7,4,2,12,5,7
K00925: ackA; acetate kinase [EC:2.7.2.1],0,0,0,1,1,6,0,3,6,0
"K00927: PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",14,2,0,5,12,20,10,16,12,6
