,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K02035: ABC.PE.S; peptide/nickel transport system substrate-binding protein,224,36,27,95,126,162,342,303,135,193
K02406: fliC; flagellin,50,6,4,48,40,218,146,245,154,165
K02040: pstS; phosphate transport system substrate-binding protein,146,24,2,72,84,144,156,83,119,132
"K04077: groEL, HSPD1; chaperonin GroEL",160,27,7,179,46,110,90,112,69,14
K03696: clpC; ATP-dependent Clp protease ATP-binding subunit ClpC,148,31,12,63,68,117,104,113,43,45
K02014: TC.FEV.OM; iron complex outermembrane recepter protein,106,17,29,58,62,138,68,102,87,36
K03406: mcp; methyl-accepting chemotaxis protein,26,3,36,28,14,144,76,137,142,56
"K04043: dnaK, HSPA9; molecular chaperone DnaK",106,17,10,104,35,107,78,96,41,29
K02027: ABC.MS.S; multiple sugar transport system substrate-binding protein,64,13,3,39,51,74,124,73,79,94
K03086: rpoD; RNA polymerase primary sigma factor,106,14,5,39,44,109,62,102,54,33
K08929: pufM; photosynthetic reaction center M subunit,82,28,2,86,55,69,46,39,51,51
"K01077: phoA, phoB; alkaline phosphatase [EC:3.1.3.1]",68,6,1,40,21,86,38,46,82,92
"K03737: por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]",46,6,3,55,59,56,62,85,47,43
K08928: pufL; photosynthetic reaction center L subunit,58,20,2,79,53,42,30,32,50,55
"K03088: rpoE; RNA polymerase sigma-70 factor, ECF subfamily",94,15,6,41,47,80,42,43,26,25
"K02355: fusA, GFM, EFG; elongation factor G",56,11,10,51,51,47,42,74,40,36
"K02358: tuf, TUFM; elongation factor Tu",76,11,7,31,38,64,68,53,42,27
"K03527: ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]",68,10,5,33,35,67,52,75,42,23
K03046: rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],88,7,10,39,27,62,56,79,7,21
K03087: rpoS; RNA polymerase nonessential primary-like sigma factor,58,6,5,30,33,76,46,73,47,20
K02689: psaA; photosystem I P700 chlorophyll a apoprotein A1,86,23,5,63,43,48,58,21,31,15
K02703: psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9],68,23,1,67,37,55,40,32,43,27
K00986: ltrA; RNA-directed DNA polymerase [EC:2.7.7.49],50,8,1,24,20,109,34,57,50,36
"K02945: RP-S1, rpsA; small subunit ribosomal protein S1",54,9,4,30,29,60,52,73,41,22
K07093: phoX; Alkaline phosphatase,78,16,5,43,50,37,38,38,33,34
K02690: psaB; photosystem I P700 chlorophyll a apoprotein A2,66,20,2,56,38,45,66,38,27,12
"K15580: oppA, mppA; oligopeptide transport system substrate-binding protein",22,1,4,12,26,47,80,59,41,49
"K01006: ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]",6,1,1,36,29,63,54,67,39,44
"K12132: prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]",56,4,12,40,43,18,62,63,13,27
K01999: livK; branched-chain amino acid transport system substrate-binding protein,40,5,20,37,26,35,76,26,39,33
"K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",52,7,3,37,34,38,58,42,34,21
K03043: rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],60,3,8,35,32,45,50,65,16,12
K13797: rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6],78,6,12,27,18,62,32,64,12,14
"K04078: groES, HSPE1; chaperonin GroES",66,6,1,79,18,36,30,38,24,11
K13993: HSP20; HSP20 family protein,66,8,1,56,22,57,32,23,26,12
K03388: hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6],0,1,0,9,12,36,70,123,19,19
"K01897: ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",26,3,18,20,17,41,48,65,19,30
K01802: peptidylprolyl isomerase [EC:5.2.1.8],52,6,16,25,26,38,30,45,19,20
"K03798: ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]",56,4,6,27,20,46,36,51,13,18
K02002: proX; glycine betaine/proline transport system substrate-binding protein,22,7,2,16,15,60,54,45,22,32
"K01895: ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]",8,3,11,22,27,33,50,35,35,48
"K01007: pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]",12,3,5,30,29,35,36,56,35,27
K10439: rbsB; ribose transport system substrate-binding protein,6,4,4,17,9,43,58,47,32,46
"K08884: serine/threonine protein kinase, bacterial [EC:2.7.11.1]",56,3,8,29,28,19,36,48,12,21
K07496: putative transposase,20,2,2,12,8,49,40,42,49,32
K01990: ABC-2.A; ABC-2 type transport system ATP-binding protein,28,6,29,25,27,27,16,55,20,15
K01338: lon; ATP-dependent Lon protease [EC:3.4.21.53],48,3,9,20,24,38,46,33,12,14
"K02520: infC, MTIF3; translation initiation factor IF-3",46,10,3,14,19,52,18,44,18,18
K03671: trxA; thioredoxin 1,66,13,7,25,19,39,22,14,24,9
K07114: yfbK; Ca-activated chloride channel homolog,30,7,1,26,16,36,36,48,15,21
"K02111: ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]",36,8,5,27,28,31,22,27,35,13
K02285: cpcB; phycocyanin beta chain,58,15,2,25,18,34,36,16,19,4
"K05377: cpeB, mpeB; phycoerythrin beta chain",58,15,2,25,18,34,36,16,19,4
K05692: ACTB_G1; actin beta/gamma 1,36,3,1,21,25,31,30,26,29,23
K02037: pstC; phosphate transport system permease protein,28,4,1,26,19,23,48,33,10,30
"K00615: E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",44,8,3,29,14,37,18,24,25,19
"K00626: E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",22,0,8,14,13,18,46,58,12,24
"K01251: E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]",32,8,1,22,20,40,34,26,12,16
K03738: aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5],2,0,0,8,6,37,60,65,9,19
"K06147: ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",30,5,32,19,25,24,22,33,10,5
"K00059: fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",34,7,13,17,28,18,28,27,12,19
