,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
"K01915: glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",34,4,7,29,15,32,24,15,24,15
K02588: nifH; nitrogenase iron protein NifH,4,2,0,10,20,31,20,6,2,26
"K00262: E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",8,0,1,11,8,16,14,20,23,10
K02586: nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1],2,3,0,10,32,13,18,4,0,28
K00266: gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],4,1,2,7,6,27,16,22,13,11
"K00284: GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]",30,4,6,10,12,9,6,6,9,9
K00265: gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],28,4,5,6,11,9,6,7,9,9
K00367: narB; ferredoxin-nitrate reductase [EC:1.7.7.2],20,3,0,14,17,5,10,9,7,8
K02591: nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1],4,1,0,13,26,11,8,4,0,20
"K00261: GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",12,0,1,7,5,7,8,11,9,3
K05601: hcp; hydroxylamine reductase [EC:1.7.99.1],4,0,0,3,2,8,20,2,3,1
K00366: nirA; ferredoxin-nitrite reductase [EC:1.7.7.1],16,2,0,3,3,1,2,0,0,1
"K01673: cynT, can; carbonic anhydrase [EC:4.2.1.1]",6,0,6,4,1,3,0,4,3,1
"K00459: ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]",6,0,4,0,1,3,4,4,1,1
K00368: nirK; nitrite reductase (NO-forming) [EC:1.7.2.1],14,2,0,0,1,0,2,0,0,1
"K00370: narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]",4,1,5,1,6,1,2,0,0,0
K00264: GLT1; glutamate synthase (NADH) [EC:1.4.1.14],4,0,0,0,0,3,8,0,1,3
K00376: nosZ; nitrous-oxide reductase [EC:1.7.2.4],4,0,1,0,6,3,4,0,0,1
"K02575: NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter",6,0,5,2,0,1,0,1,0,2
K15371: GDH2; glutamate dehydrogenase [EC:1.4.1.2],8,0,1,0,2,0,4,0,1,0
K02567: napA; periplasmic nitrate reductase NapA [EC:1.7.99.-],2,0,1,4,4,3,0,1,0,0
K01501: E3.5.5.1; nitrilase [EC:3.5.5.1],4,0,1,2,1,1,2,1,0,2
K00926: arcC; carbamate kinase [EC:2.7.2.2],2,0,2,2,0,2,2,1,0,2
K01455: E3.5.1.49; formamidase [EC:3.5.1.49],6,0,2,1,1,0,2,0,0,1
K10944: pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39],8,3,0,0,2,0,0,0,0,0
K00372: nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],2,1,1,3,2,3,0,0,0,0
"K00260: gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]",0,0,0,2,2,2,0,4,0,1
K03385: nrfA; nitrite reductase (cytochrome c-552) [EC:1.7.2.2],0,0,2,0,1,2,2,3,1,0
"K15576: nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",2,1,0,1,0,2,4,0,0,0
K01948: CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16],0,0,1,0,1,1,2,2,1,1
K15864: nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1],2,2,1,1,2,0,0,0,0,0
K00362: nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15],0,0,3,0,1,2,0,1,0,0
K01674: cah; carbonic anhydrase [EC:4.2.1.1],0,0,0,2,0,0,0,2,2,1
"K00374: narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]",0,0,2,0,0,0,0,1,2,0
K02305: norC; nitric oxide reductase subunit C,2,0,3,0,0,0,0,0,0,0
K04561: norB; nitric oxide reductase subunit B [EC:1.7.2.5],2,0,1,0,1,1,0,0,0,0
K10945: pmoB-amoB; methane/ammonia monooxygenase subunit B,4,1,0,0,0,0,0,0,0,0
K01725: cynS; cyanate lyase [EC:4.2.1.104],0,0,0,1,0,1,2,0,0,0
K00360: nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-],0,0,2,0,0,0,0,0,0,0
K10946: pmoC-amoC; methane/ammonia monooxygenase subunit C,0,2,0,0,0,0,0,0,0,0
K00363: nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15],0,1,0,0,0,0,0,0,0,0
"K00371: narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]",0,0,0,0,0,1,0,0,0,0
K01672: CA; carbonic anhydrase [EC:4.2.1.1],0,0,0,0,0,1,0,0,0,0
K10535: hao; hydroxylamine dehydrogenase [EC:1.7.2.6],0,0,0,0,1,0,0,0,0,0
"K15578: nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]",0,0,0,0,0,0,0,0,0,1
K18245: CA2; carbonic anhydrase 2 [EC:4.2.1.1],0,0,0,0,0,1,0,0,0,0
