,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K00299: ssuE; FMN reductase [EC:1.5.1.38],0,0,2,0,2,2,0,0,0,0
K00380: cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2],4,0,1,2,3,3,2,3,2,0
K00381: cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2],26,1,0,5,6,0,4,2,1,0
K00387: SUOX; sulfite oxidase [EC:1.8.3.1],2,0,1,2,0,0,0,0,0,0
K00390: cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],16,0,2,6,3,10,2,3,3,6
K00392: sir; sulfite reductase (ferredoxin) [EC:1.8.7.1],22,1,0,5,5,0,2,1,0,0
"K00394: aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]",0,0,0,8,14,20,24,15,49,21
"K00395: aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]",0,0,0,2,4,7,14,11,11,9
K00640: cysE; serine O-acetyltransferase [EC:2.3.1.30],8,0,0,10,5,6,4,4,0,10
K00641: metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46],4,1,2,0,1,3,0,0,0,0
K00651: metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31],0,0,0,0,1,1,0,0,0,0
K00860: cysC; adenylylsulfate kinase [EC:2.7.1.25],2,0,0,3,2,0,2,2,1,1
K00955: cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25],2,0,2,6,0,1,0,1,1,3
K00956: cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],2,0,2,6,0,1,0,1,1,4
K00957: cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],2,0,0,6,0,6,2,1,3,3
"K00958: sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]",6,0,0,6,3,8,10,9,11,13
"K01011: TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]",12,3,3,3,6,4,4,10,3,1
"K01082: cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]",2,0,0,3,0,1,0,2,2,1
K01738: cysK; cysteine synthase [EC:2.5.1.47],18,4,5,8,9,2,4,4,3,4
K01739: metB; cystathionine gamma-synthase [EC:2.5.1.48],6,0,1,5,4,2,8,4,3,2
K02046: cysU; sulfate/thiosulfate transport system permease protein,0,0,2,0,0,0,0,0,0,0
K02048: cysP; sulfate/thiosulfate transport system substrate-binding protein,0,0,4,0,2,0,0,0,0,0
K02439: glpE; thiosulfate sulfurtransferase [EC:2.8.1.1],0,0,0,0,0,0,2,7,0,0
