Taxa,Pustular Mat 1,Pustular Mat 2,Pustular Mat 3,Pustular Mat 4,Pustular Mat 5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
Cyanobacteria,5715,1585,332,5367,4489,1946,4063,4001,4757,2421
Bacteroidetes,1062,444,397,1583,1248,1246,3097,3669,3026,1114
Firmicutes,1101,112,3270,789,557,1366,2772,2491,1383,1421
Gammaproteobacteria,1308,181,2352,2227,1197,736,1521,1392,1195,1097
Chloroflexi,396,159,27,866,747,1743,867,3130,933,1384
Alphaproteobacteria,1721,321,362,2453,1487,492,631,642,884,618
Betaproteobacteria,705,213,4648,623,449,585,976,618,351,331
Deltaproteobacteria,441,89,66,855,721,808,916,1262,2055,1227
Spirochaetes,111,17,4,308,181,438,1314,1451,1244,809
Actinobacteria,442,81,1904,258,356,391,1115,486,295,310
Arthropoda,287,24,74,643,163,340,490,554,454,216
Planctomycetes,736,142,34,556,585,92,189,152,103,103
Nematoda,64,18,18,134,148,457,552,426,281,156
Unknown  Eukaryota,171,29,9,273,245,33,225,158,397,181
Euryarchaeota,138,64,71,61,83,240,173,556,154,142
Streptophyta,152,97,134,131,118,29,216,129,185,95
Bacillariophyta,46,2,0,242,187,19,108,53,503,116
Verrucomicrobia,221,32,26,201,176,55,86,138,123,90
Chlorobi,51,30,15,88,79,112,170,222,212,96
Acidobacteria,97,25,10,75,98,60,88,114,73,48
Thermotogae,25,6,8,48,23,77,95,179,119,73
Deinococcus-Thermus,81,24,5,90,107,69,46,83,73,65
Ascomycota,86,11,33,47,64,36,95,79,71,39
Unknown  Bacteria,26,9,202,30,17,37,62,56,39,34
Epsilonproteobacteria,26,10,17,32,27,52,60,95,157,36
Thaumarchaeota,269,74,8,9,121,4,3,9,2,2
Chlorophyta,29,8,6,92,45,11,65,43,101,16
Echinodermata,13,0,4,22,41,63,75,56,54,31
Cnidaria,14,3,7,38,40,16,62,31,35,12
Deferribacteres,10,4,0,10,9,27,34,56,68,39
Aquificae,7,3,7,20,16,24,36,75,38,24
Basidiomycota,25,3,44,12,26,37,42,26,23,9
Nitrospirae,28,2,10,21,25,22,26,50,26,15
Synergistetes,11,1,0,10,14,36,34,59,42,17
Fusobacteria,11,3,25,16,6,18,22,46,32,21
Apicomplexa,11,4,20,13,24,4,19,42,28,18
Chlamydiae,9,1,7,33,8,15,39,31,15,16
Crenarchaeota,21,0,0,4,5,35,16,64,14,14
Viruses,8,1,16,10,4,12,35,7,5,4
Dictyoglomi,4,1,0,9,2,13,16,37,11,7
Hemichordata,3,2,0,14,5,11,24,15,10,10
Lentisphaerae,10,3,0,10,7,7,16,18,14,6
Placozoa,5,1,0,11,11,7,12,7,12,5
Gemmatimonadetes,8,3,1,6,17,5,5,8,7,5
Chrysiogenetes,4,0,2,2,2,8,11,9,17,9
Phaeophyceae,1,0,0,3,13,0,26,5,12,2
Platyhelminthes,1,0,0,13,1,3,19,7,6,0
Elusimicrobia,2,0,0,5,6,8,6,14,8,0
