,Pustular Mat 1,Pustular Mat 2,Pustular Mat 3,Pustular Mat 4,Pustular Mat 5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
Deltaproteobacteria,133762,164176,52145,268631,246764,362169,117224,102724,239681,360532
Planctomycetes,316310,367250,207674,265424,304919,152928,75971,67513,70637,131725
Bacteroidetes,108929,223891,122964,116447,148289,207306,292027,192791,240856,204567
Alphaproteobacteria,299955,201949,119921,328337,234327,148014,88591,43250,107644,139213
Cyanobacteria,190600,158119,88384,160957,140885,65374,39484,38010,72784,64161
Chloroflexi,46722,93854,26077,119542,102813,201556,31595,96882,55922,135654
Spirochaetes,5747,10948,3088,38554,17287,174524,72335,89736,161781,237077
Gammaproteobacteria,62197,90082,24893,82731,108449,112427,50193,26735,108586,124385
Unknkown Bacteria,95873,72964,53002,117510,114168,97371,39049,30146,58366,100032
Verrucomicrobia,52461,29979,16579,48515,44831,10579,4213,4912,15790,21820
Opisthokonta,2272,2433,2702,97080,26068,23072,15999,10966,14990,29281
Unknown Proteobacteria,27220,12999,11752,34026,30145,22229,9444,4920,15831,23634
Acidobacteria,25976,29014,8278,8381,22629,6566,2203,3720,4524,10813
Gemmatimonadetes,12798,34820,8719,6971,17563,3335,306,275,796,2199
Firmicutes,6932,14656,5392,10458,5783,5867,5753,2461,12215,11616
Stramenopiles,1701,822,1291,10427,7335,3780,15378,4035,30596,5095
BRC1,2309,4369,1832,4734,4809,6038,1092,2109,7556,10526
Alveolata,2148,2816,1928,11512,10079,193,1771,573,9654,4618
Euryarchaeota,10192,21043,8203,1069,1357,815,10,227,1183,679
Fibrobacteres,82,330,16,4447,2964,17243,6380,8125,1473,2975
Latescibacteria,1689,4035,1484,2888,4466,5512,1861,1264,6778,10530
Entotheonellaeota,11205,17507,1336,499,4109,115,32,25,17,16
Zixibacteria,178,1186,56,3050,2570,14869,3540,1578,1787,5984
Actinobacteria,3532,10055,1123,5260,8682,2315,367,230,687,1423
Calditrichaeota,3624,2018,426,800,4161,8005,831,1249,4672,2674
Kiritimatiellaeota,1108,1911,797,3094,2351,3544,2407,355,5974,5619
Unknown Eukaryota,1769,1196,1280,6110,4117,1073,2242,1243,4107,3185
Hydrogenedentes,3133,3571,1464,2525,2888,3026,817,1313,1387,3720
Patescibacteria,776,836,679,1284,1756,2483,2460,3503,3731,4415
Rhizaria,1374,395,372,3085,7362,367,1342,1134,1847,1506
Omnitrophicaeota,1452,1038,1039,1693,2488,1768,297,422,602,471
Amoebozoa,1019,1273,813,1747,1606,208,372,417,793,663
Nitrospirae,1672,1973,255,1034,2156,678,371,90,238,406
Nanoarchaeaeota,196,467,0,684,917,1236,393,790,2379,1300
Acetothermia,931,1243,399,155,612,861,1784,156,67,122
Dependentiae,339,410,56,660,353,1594,836,782,297,720
Chlamydiae,756,434,173,748,870,877,952,359,346,522
Epsilonbacteraeota,248,401,119,458,237,257,390,144,2525,1241
Modulibacteria,33,95,42,65,45,3010,237,674,789,895
Thaumarchaeota,1801,1245,23,43,1998,0,0,0,0,0
PAUC34f,875,1352,464,285,1090,245,64,11,103,548
Marinimicrobia,308,1653,269,422,264,327,304,100,819,459
GN01,11,0,0,35,14,377,0,648,849,1829
Archaeplastida,96,122,62,844,363,100,378,182,386,906
Excavata,154,352,324,871,692,57,516,0,257,189
Lentisphaerae,363,111,196,165,599,173,67,144,752,728
LCP-89,0,28,0,177,37,1969,303,92,195,457
WPS-2,602,754,328,583,714,76,23,0,34,129
Atribacteria,279,284,395,432,270,280,137,121,153,315
Deinococcus-Thermus,497,458,60,923,387,19,17,0,141,130
Poribacteria,18,79,13,51,0,1432,107,358,285,111
MAT-CR-M4-B07,0,0,0,19,0,83,174,146,1418,463
Margulisbacteria,44,35,16,68,53,634,97,232,344,290
Halanaerobiaeota,23,142,125,452,0,306,0,10,458,96
Dadabacteria,246,721,42,60,282,12,18,0,67,125
Diapherotrites,0,0,0,0,0,432,50,785,112,92
Asgardaeota,0,0,0,0,0,207,117,302,144,185
Crenarchaeota,0,0,0,0,0,224,29,221,104,109
TA06,124,89,34,84,57,13,21,0,31,46
Synergistetes,10,143,46,13,11,40,20,0,164,14
Centrohelida,0,11,0,62,136,0,0,0,60,176
Tenericutes,11,34,14,35,0,36,41,25,23,39
Incertae Sedis,12,26,0,36,23,0,24,12,44,14
Cryptophyceae,0,0,0,16,12,0,0,0,52,13
